Score,Younger than 30,30-39,40-49,50-61,62 or older
0,34.50,37.02,31.77,31.63,24.20
0.5,33.80,36.01,30.96,30.62,23.67
1,33.10,35.00,30.15,29.62,23.15
1.5,32.41,33.99,29.33,28.61,22.62
2,31.71,32.98,28.52,27.61,22.09
2.5,31.01,31.97,27.70,26.60,21.56
3,30.31,30.96,26.89,25.59,21.04
3.5,29.62,29.95,26.08,24.59,20.51
4,28.92,28.94,25.26,23.58,19.98
4.5,28.22,27.92,24.45,22.58,19.45
5,27.53,26.91,23.63,21.57,18.93
5.5,26.83,25.90,22.82,20.57,18.40
6,26.13,24.89,22.01,19.56,17.87
6.5,25.43,23.88,21.19,18.55,17.34
7,24.74,22.87,20.38,17.55,16.82
7.5,24.04,21.86,19.56,16.54,16.29
8,23.34,20.85,18.75,15.54,15.76
8.5,22.64,19.83,17.94,14.53,15.23
9,21.95,18.82,17.12,13.53,14.71
9.5,21.25,17.81,16.31,12.52,14.18
10,20.55,16.80,15.49,11.52,13.65
10.5,20.28,16.34,15.03,11.26,13.31
11,20.01,15.89,14.57,11.01,12.98
11.5,19.74,15.43,14.11,10.75,12.64
12,19.47,14.98,13.65,10.50,12.30
12.5,19.20,14.52,13.18,10.25,11.96
13,18.93,14.07,12.72,9.99,11.62
13.5,18.65,13.61,12.26,9.74,11.28
14,18.38,13.15,11.80,9.48,10.95
14.5,18.11,12.70,11.34,9.23,10.61
15,17.84,12.24,10.87,8.98,10.27
15.5,17.57,11.79,10.41,8.72,9.93
16,17.30,11.33,9.95,8.47,9.59
16.5,17.03,10.88,9.49,8.21,9.25
17,16.76,10.42,9.02,7.96,8.92
17.5,16.48,9.96,8.56,7.71,8.58
18,16.21,9.51,8.10,7.45,8.24
18.5,15.94,9.05,7.64,7.20,7.90
19,15.67,8.60,7.18,6.94,7.56
19.5,15.40,8.14,6.71,6.69,7.23
20,15.13,7.69,6.25,6.44,6.89
20.5,14.76,7.56,6.16,6.28,6.77
21,14.39,7.42,6.06,6.13,6.65
21.5,14.02,7.29,5.97,5.98,6.53
22,13.65,7.16,5.88,5.82,6.41
22.5,13.28,7.03,5.78,5.67,6.29
23,12.91,6.90,5.69,5.52,6.17
23.5,12.54,6.77,5.59,5.36,6.05
24,12.16,6.64,5.50,5.21,5.93
24.5,11.79,6.51,5.41,5.06,5.81
25,11.42,6.38,5.31,4.90,5.69
25.5,11.05,6.25,5.22,4.75,5.57
26,10.68,6.12,5.12,4.60,5.45
26.5,10.31,5.99,5.03,4.45,5.33
27,9.94,5.86,4.93,4.29,5.21
27.5,9.57,5.72,4.84,4.14,5.09
28,9.20,5.59,4.75,3.99,4.97
28.5,8.83,5.46,4.65,3.83,4.85
29,8.46,5.33,4.56,3.68,4.73
29.5,8.09,5.20,4.46,3.53,4.61
30,7.72,5.07,4.37,3.37,4.49
30.5,7.53,4.96,4.25,3.29,4.46
31,7.33,4.85,4.13,3.20,4.43
31.5,7.14,4.74,4.01,3.11,4.40
32,6.95,4.63,3.89,3.02,4.37
32.5,6.75,4.52,3.77,2.93,4.33
33,6.56,4.41,3.65,2.85,4.30
33.5,6.36,4.29,3.53,2.76,4.27
34,6.17,4.18,3.40,2.67,4.24
34.5,5.98,4.07,3.28,2.58,4.21
35,5.78,3.96,3.16,2.49,4.17
35.5,5.59,3.85,3.04,2.41,4.14
36,5.40,3.74,2.92,2.32,4.11
36.5,5.20,3.63,2.80,2.23,4.08
37,5.01,3.52,2.68,2.14,4.05
37.5,4.82,3.41,2.56,2.05,4.01
38,4.62,3.30,2.44,1.97,3.98
38.5,4.43,3.19,2.32,1.88,3.95
39,4.23,3.08,2.20,1.79,3.92
39.5,4.04,2.96,2.08,1.70,3.89
40,3.85,2.85,1.96,1.61,3.85
40.5,3.79,2.75,1.91,1.56,3.73
41,3.73,2.64,1.86,1.50,3.60
41.5,3.67,2.54,1.81,1.45,3.47
42,3.61,2.44,1.76,1.40,3.35
42.5,3.55,2.33,1.71,1.34,3.22
43,3.49,2.23,1.66,1.29,3.09
43.5,3.43,2.12,1.61,1.23,2.96
44,3.37,2.02,1.56,1.18,2.84
44.5,3.31,1.91,1.51,1.12,2.71
45,3.25,1.81,1.46,1.07,2.58
45.5,3.18,1.71,1.41,1.01,2.45
46,3.12,1.60,1.36,0.96,2.33
46.5,3.06,1.50,1.32,0.91,2.20
47,3.00,1.39,1.27,0.85,2.07
47.5,2.94,1.29,1.22,0.80,1.94
48,2.88,1.18,1.17,0.74,1.82
48.5,2.82,1.08,1.12,0.69,1.69
49,2.76,0.97,1.07,0.63,1.56
49.5,2.70,0.87,1.02,0.58,1.44
50,2.64,0.77,0.97,0.52,1.31
50.5,2.58,0.75,0.94,0.50,1.25
51,2.51,0.73,0.92,0.48,1.20
51.5,2.44,0.71,0.89,0.46,1.15
52,2.37,0.69,0.87,0.44,1.09
52.5,2.31,0.67,0.84,0.42,1.04
53,2.24,0.65,0.82,0.40,0.99
53.5,2.17,0.63,0.79,0.38,0.93
54,2.10,0.61,0.77,0.36,0.88
54.5,2.03,0.59,0.74,0.34,0.83
55,1.97,0.57,0.72,0.32,0.77
55.5,1.90,0.55,0.69,0.30,0.72
56,1.83,0.53,0.67,0.28,0.67
56.5,1.76,0.51,0.64,0.26,0.61
57,1.70,0.49,0.62,0.24,0.56
57.5,1.63,0.47,0.59,0.22,0.51
58,1.56,0.45,0.57,0.20,0.45
58.5,1.49,0.43,0.54,0.18,0.40
59,1.43,0.41,0.52,0.16,0.34
59.5,1.36,0.39,0.49,0.14,0.29
60,1.29,0.37,0.46,0.12,0.24
60.5,1.27,0.37,0.45,0.14,0.26
61,1.26,0.37,0.43,0.15,0.29
61.5,1.24,0.37,0.41,0.16,0.31
62,1.22,0.37,0.40,0.17,0.33
62.5,1.20,0.37,0.38,0.18,0.36
63,1.18,0.37,0.36,0.20,0.38
63.5,1.16,0.37,0.34,0.21,0.41
64,1.15,0.37,0.33,0.22,0.43
64.5,1.13,0.37,0.31,0.23,0.46
65,1.11,0.37,0.29,0.24,0.48
65.5,1.09,0.37,0.27,0.26,0.51
66,1.07,0.37,0.26,0.27,0.53
66.5,1.05,0.37,0.24,0.28,0.55
67,1.04,0.37,0.22,0.29,0.58
67.5,1.02,0.37,0.20,0.30,0.60
68,1.00,0.37,0.19,0.32,0.63
68.5,0.98,0.37,0.17,0.33,0.65
69,0.96,0.37,0.15,0.34,0.68
69.5,0.95,0.37,0.14,0.35,0.70
70,0.93,0.37,0.12,0.36,0.72
70.5,0.88,0.36,0.12,0.35,0.71
71,0.83,0.36,0.12,0.35,0.70
71.5,0.78,0.35,0.12,0.34,0.69
72,0.72,0.35,0.12,0.33,0.68
73,0.62,0.34,0.12,0.31,0.66
73.5,0.57,0.34,0.12,0.31,0.65
74,0.52,0.33,0.13,0.30,0.64
74.5,0.47,0.33,0.13,0.29,0.63
75,0.42,0.33,0.13,0.28,0.62
75.5,0.37,0.32,0.13,0.27,0.61
76,0.32,0.32,0.13,0.26,0.60
76.5,0.27,0.32,0.13,0.26,0.59
77,0.22,0.31,0.13,0.25,0.58
78,0.12,0.30,0.13,0.23,0.56
78.5,0.06,0.30,0.13,0.22,0.55
79,0.01,0.30,0.13,0.21,0.54
79.5,0.00,0.29,0.14,0.21,0.53
80,0.00,0.29,0.14,0.20,0.52
80.5,0.00,0.27,0.13,0.20,0.50
81,0.00,0.26,0.13,0.20,0.48
81.5,0.00,0.24,0.13,0.20,0.46
82,0.00,0.23,0.13,0.20,0.44
82.5,0.00,0.21,0.12,0.19,0.42
83,0.00,0.20,0.12,0.19,0.40
83.5,0.00,0.18,0.12,0.19,0.38
84,0.00,0.17,0.11,0.19,0.36
84.5,0.00,0.15,0.11,0.19,0.34
85,0.00,0.14,0.11,0.19,0.32
85.5,0.00,0.12,0.11,0.19,0.30
86,0.00,0.11,0.10,0.19,0.28
86.5,0.00,0.09,0.10,0.19,0.26
87,0.01,0.08,0.10,0.19,0.24
87.5,0.02,0.06,0.10,0.19,0.22
88,0.02,0.05,0.09,0.19,0.20
88.5,0.03,0.04,0.09,0.19,0.18
89,0.04,0.02,0.09,0.18,0.16
89.5,0.04,0.01,0.09,0.18,0.14
90,0.05,0.00,0.08,0.18,0.12
90.5,0.05,0.00,0.09,0.17,0.14
91,0.04,0.00,0.09,0.17,0.16
91.5,0.04,0.00,0.10,0.16,0.18
92,0.03,0.00,0.10,0.15,0.20
93,0.02,0.00,0.11,0.13,0.24
93.5,0.02,0.00,0.12,0.12,0.26
94,0.02,0.00,0.13,0.12,0.28
94.5,0.01,0.00,0.13,0.11,0.30
95,0.01,0.00,0.14,0.10,0.32
95.5,0.00,0.00,0.14,0.09,0.34
96,0.00,0.00,0.15,0.08,0.35
96.5,0.00,0.00,0.15,0.07,0.37
97,0.00,0.00,0.16,0.07,0.39
97.5,0.00,0.00,0.16,0.06,0.41
98,0.00,0.00,0.17,0.05,0.43
98.5,0.00,0.01,0.17,0.04,0.45
99,0.00,0.01,0.18,0.03,0.47
99.5,0.00,0.01,0.18,0.02,0.49
100,0.00,0.01,0.19,0.01,0.51
