Score,White (Good),White (Bad),Black (Good),Black (Bad),Hispanic (Good),Hispanic (Bad),Asian (Good),Asian (Bad)
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.5,0.0,1.0,0.004516430462544874,0.9954835695374551,0.02061855670103025,0.9793814432989697,0.0,1.0
1.0,0.02562949640287753,0.9743705035971225,0.021856629126381314,0.9781433708736187,0.011167985109352813,0.9888320148906472,0.06067961165048834,0.9393203883495117
1.5,0.027318475916606598,0.9726815240833934,0.018500797448166264,0.9814992025518338,0.0,1.0,0.0,1.0
2.0,0.04215196894065419,0.9578480310593458,0.020513150279725226,0.9794868497202748,0.02542372881355849,0.9745762711864415,0.10460251046025579,0.8953974895397442
2.5,0.053596614950634384,0.9464033850493656,0.020335309491936435,0.9796646905080636,0.05099150141642896,0.9490084985835711,0.0,1.0
3.0,0.051724137931034156,0.9482758620689659,0.0357583230579539,0.9642416769420461,0.028892455858747043,0.971107544141253,0.02351834430856186,0.9764816556914382
3.5,0.059097978227060304,0.9409020217729397,0.02314445331205158,0.9768555466879484,0.1065482796892309,0.8934517203107691,0.023126734505089026,0.9768732654949109
4.0,0.05590975968612031,0.9440902403138797,0.012710935787859123,0.9872890642121409,0.030612244897958198,0.9693877551020418,0.0877192982456181,0.9122807017543819
4.5,0.054441260744985266,0.9455587392550148,0.019016393442623323,0.9809836065573767,0.07999999999999736,0.9200000000000026,0.07288629737609668,0.9271137026239034
5.0,0.08569587628865935,0.9143041237113406,0.031845204286418204,0.9681547957135818,0.035317200784825524,0.9646827992151745,0.04690431519700042,0.9530956848029996
5.5,0.09264526615197015,0.9073547338480299,0.04552590266876078,0.9544740973312392,0.0641711229946504,0.9358288770053496,0.07836990595611652,0.9216300940438835
6.0,0.08682406702208632,0.9131759329779137,0.03490471414242804,0.965095285857572,0.06832298136645745,0.9316770186335426,0.1742160278745719,0.8257839721254281
6.5,0.05960784313725459,0.9403921568627454,0.03140358184090025,0.9685964181590998,0.05172413793103285,0.9482758620689672,0.2545824847250596,0.7454175152749404
7.0,0.11828793774318981,0.8817120622568102,0.043204767422613,0.956795232577387,0.07465007776049538,0.9253499222395046,0.135427952329367,0.864572047670633
7.5,0.07203791469194298,0.927962085308057,0.07925465838509507,0.920745341614905,0.07114624505928627,0.9288537549407138,0.07936507936508305,0.9206349206349169
8.0,0.12326227988878515,0.8767377201112149,0.039944903581267927,0.9600550964187321,0.10112359550561498,0.898876404494385,0.16297262059974613,0.8370273794002538
8.5,0.08042328042327967,0.9195767195767204,0.03732303732303833,0.9626769626769617,0.21841541755888058,0.7815845824411194,0.0,1.0
9.0,0.10726887791107934,0.8927311220889207,0.04143251738260861,0.9585674826173914,0.1132075471698079,0.8867924528301921,0.1931993817619869,0.8068006182380131
9.5,0.13706041478809658,0.8629395852119034,0.05238709677419476,0.9476129032258053,0.05616224648985796,0.9438377535101421,0.3906250000000115,0.6093749999999885
10.0,0.17007672634271,0.82992327365729,0.07859078590786063,0.9214092140921394,0.06441717791410796,0.935582822085892,0.08223684210526709,0.917763157894733
10.5,0.16888888888888787,0.8311111111111121,0.08144977932325977,0.9185502206767402,0.12313432835820566,0.8768656716417943,0.0755287009063478,0.9244712990936522
11.0,0.14910313901345176,0.8508968609865483,0.07218585784087905,0.927814142159121,0.12499999999999639,0.8750000000000036,0.13430544896393531,0.8656945510360647
11.5,0.12313674659753694,0.8768632534024631,0.05449079293498813,0.9455092070650118,0.08517350157728425,0.9148264984227158,0.10460251046025587,0.8953974895397441
12.0,0.12960436562073593,0.870395634379264,0.0756255895244979,0.9243744104755021,0.09125475285170828,0.9087452471482917,0.08833922261484521,0.9116607773851548
12.5,0.1834640917320454,0.8165359082679546,0.11476775671735276,0.8852322432826473,0.13953488372092615,0.8604651162790738,0.18796992481203728,0.8120300751879628
13.0,0.17757009345794264,0.8224299065420574,0.089958344411949,0.9100416555880511,0.1946697566627987,0.8053302433372013,0.2682926829268392,0.7317073170731607
13.5,0.15384615384615327,0.8461538461538467,0.11316492092832399,0.886835079071676,0.0909090909090885,0.9090909090909115,0.1256281407035236,0.8743718592964764
14.0,0.15159574468085033,0.8484042553191496,0.12343426973124418,0.8765657302687558,0.10480349344977852,0.8951965065502214,0.06925207756233015,0.9307479224376698
14.5,0.1472868217054249,0.8527131782945752,0.139240506329117,0.860759493670883,0.11290322580644797,0.887096774193552,0.23255813953489224,0.7674418604651078
15.0,0.18551668022782666,0.8144833197721734,0.07662947739283756,0.9233705226071625,0.16263310745401321,0.8373668925459867,0.15197568389058422,0.8480243161094158
15.5,0.24657534246575133,0.7534246575342487,0.12972166998012175,0.8702783300198782,0.13145539906102882,0.8685446009389712,0.13812154696133194,0.8618784530386681
16.0,0.21318373071528723,0.7868162692847127,0.1381573033707893,0.8618426966292108,0.1575492341356625,0.8424507658643375,0.29989094874592237,0.7001090512540776
16.5,0.2753623188405786,0.7246376811594214,0.1786447638603733,0.8213552361396267,0.2145593869731747,0.7854406130268253,0.33156498673741114,0.6684350132625889
17.0,0.26587728740581096,0.734122712594189,0.1553276353276375,0.8446723646723625,0.31034482758619963,0.6896551724138004,0.35211267605634944,0.6478873239436506
17.5,0.2876366694701405,0.7123633305298596,0.14146341463414958,0.8585365853658504,0.2259414225941356,0.7740585774058644,0.3308128544423562,0.6691871455576438
18.0,0.30158730158730146,0.6984126984126986,0.17426139208813565,0.8257386079118644,0.22594142259413671,0.7740585774058633,0.26737967914439453,0.7326203208556055
18.5,0.30694668820678267,0.6930533117932174,0.13217866909754108,0.8678213309024589,0.18367346938775006,0.8163265306122499,0.4838709677419487,0.5161290322580513
19.0,0.3543609434997241,0.6456390565002759,0.15000000000000194,0.8499999999999981,0.26778242677823677,0.7322175732217633,0.47642928786360417,0.5235707121363958
19.5,0.30755395683453085,0.6924460431654691,0.1780506523407565,0.8219493476592434,0.2696629213483078,0.7303370786516922,0.46174142480212377,0.5382585751978762
20.0,0.18149824032176867,0.8185017596782314,0.04734202012406966,0.9526579798759304,0.08977556109725392,0.9102244389027461,0.35159141376759095,0.648408586232409
20.5,0.25054945054944905,0.749450549450551,0.1301615798922826,0.8698384201077174,0.2307692307692248,0.7692307692307752,0.3246753246753362,0.6753246753246638
21.0,0.2865761689291088,0.7134238310708911,0.13300311869382014,0.8669968813061799,0.32432432432431785,0.6756756756756821,0.24449877750612184,0.7555012224938782
21.5,0.36538461538461575,0.6346153846153842,0.1526851526851544,0.8473148473148456,0.26573426573426007,0.7342657342657399,0.3164556962025432,0.6835443037974568
22.0,0.3931034482758599,0.60689655172414,0.22433460076046197,0.775665399239538,0.29347826086955714,0.7065217391304428,0.6804733727810748,0.3195266272189252
22.5,0.4228934817170084,0.5771065182829915,0.21724830988489066,0.7827516901151094,0.35643564356434654,0.6435643564356535,0.5605381165919395,0.43946188340806047
23.0,0.3723342939481264,0.6276657060518736,0.25438596491228604,0.745614035087714,0.27999999999999386,0.7200000000000062,0.6013745704467482,0.39862542955325175
23.5,0.35536159600997397,0.644638403990026,0.1810883140053552,0.8189116859946448,0.29864253393664514,0.7013574660633548,0.43103448275863465,0.5689655172413653
24.0,0.40348881304512413,0.5965111869548758,0.23500810372771977,0.7649918962722803,0.2335766423357605,0.7664233576642395,0.5790866975513025,0.4209133024486975
24.5,0.43734015345268556,0.5626598465473145,0.21345951629863466,0.7865404837013653,0.4999999999999924,0.5000000000000075,0.5517826825127471,0.4482173174872529
25.0,0.49949443882709466,0.5005055611729053,0.2721025505484405,0.7278974494515595,0.36285097192223725,0.6371490280777627,0.365579302587187,0.634420697412813
25.5,0.5074626865671654,0.4925373134328346,0.36042996305005515,0.6395700369499449,0.419889502762425,0.580110497237575,0.7510729613734006,0.24892703862659937
26.0,0.4831398562741851,0.5168601437258149,0.281690140845074,0.718309859154926,0.4260355029585718,0.5739644970414282,0.2783964365256235,0.7216035634743765
26.5,0.49828962371721214,0.5017103762827879,0.3251240580775613,0.6748759419224387,0.30278884462150685,0.6972111553784932,0.6109022556391104,0.3890977443608896
27.0,0.5173978819969736,0.48260211800302644,0.33902535137265866,0.6609746486273413,0.4980694980694885,0.5019305019305115,0.5790190735694943,0.42098092643050566
27.5,0.49115646258503454,0.5088435374149655,0.4436143721095781,0.5563856278904219,0.43820224719100365,0.5617977528089964,0.6013745704467482,0.39862542955325175
28.0,0.5635270541082126,0.4364729458917874,0.34832609251214347,0.6516739074878566,0.6121147715196509,0.3878852284803491,0.646123260437387,0.353876739562613
28.5,0.5577536694320364,0.4422463305679636,0.3780013720557988,0.6219986279442011,0.5303867403314856,0.4696132596685144,0.6046705587990094,0.39532944120099056
29.0,0.611356466876969,0.388643533123031,0.43052912066997273,0.5694708793300273,0.5429104477611848,0.4570895522388152,0.5358076319916506,0.4641923680083494
29.5,0.5852363250132773,0.41476367498672273,0.549804393620229,0.45019560637977096,0.5864661654135267,0.4135338345864733,0.5230125523012653,0.4769874476987347
30.0,0.6364037020713955,0.3635962979286045,0.46269563896064503,0.537304361039355,0.5217391304347707,0.4782608695652293,0.7365202890494839,0.26347971095051614
30.5,0.6011865524060646,0.39881344759393544,0.43034944949737697,0.569650550502623,0.5823927765237,0.41760722347629997,0.5920550038197215,0.40794499618027846
31.0,0.6709909909909859,0.3290090090090141,0.47222644955106075,0.5277735504489393,0.6146044624746358,0.38539553752536415,0.6994584837545236,0.3005415162454764
31.5,0.6564784053156135,0.3435215946843865,0.385137044362824,0.6148629556371761,0.5610687022900706,0.43893129770992945,0.6149732620320937,0.3850267379679063
32.0,0.7130434782608707,0.28695652173912933,0.42888442578053754,0.5711155742194625,0.6183206106870123,0.3816793893129877,0.763016157989238,0.23698384201076195
32.5,0.6826347305389203,0.3173652694610797,0.44529750479847796,0.554702495201522,0.7132867132867076,0.28671328671329244,0.6801776790671976,0.3198223209328024
33.0,0.7136150234741778,0.2863849765258222,0.5586264656616456,0.44137353433835436,0.6046511627906881,0.3953488372093119,0.551044083526694,0.448955916473306
33.5,0.7616468039003209,0.2383531960996791,0.5252018328605709,0.47479816713942913,0.694214876033056,0.305785123966944,0.631313131313141,0.36868686868685896
34.0,0.7128874388254474,0.28711256117455264,0.5639222176251704,0.43607778237482964,0.6026986506746534,0.39730134932534655,0.6888168557536589,0.3111831442463411
34.5,0.7643200699606475,0.2356799300393525,0.5092614866490219,0.49073851335097807,0.6811819595645358,0.31881804043546424,0.6888168557536585,0.3111831442463415
35.0,0.7239189597822794,0.2760810402177206,0.5631067961165164,0.4368932038834836,0.6417759838546824,0.3582240161453176,0.7544439851178246,0.24555601488217538
35.5,0.7169811320754713,0.2830188679245287,0.5160142348754326,0.48398576512456737,0.6153846153846074,0.3846153846153926,0.7290686735653956,0.2709313264346044
36.0,0.7956355057505127,0.20436449424948733,0.5547130794416764,0.44528692055832364,0.6338912133891129,0.3661087866108871,0.7884972170686531,0.21150278293134694
36.5,0.7862068965517296,0.2137931034482704,0.6195320447609433,0.38046795523905674,0.7989949748743702,0.2010050251256298,0.802139037433161,0.19786096256683905
37.0,0.8165111676562039,0.1834888323437961,0.6574307304785887,0.3425692695214113,0.6610169491525352,0.33898305084746483,0.8450436764147442,0.1549563235852558
37.5,0.792732166890981,0.20726783310901897,0.6703952274422216,0.3296047725577784,0.7252747252747164,0.27472527472528363,0.7180156657963559,0.2819843342036441
38.0,0.7898876404494352,0.21011235955056484,0.6551406177962253,0.34485938220377466,0.7293447293447204,0.2706552706552796,0.8431703204047273,0.15682967959527272
38.5,0.824891461649783,0.175108538350217,0.6072202166065077,0.3927797833934923,0.6428571428571414,0.35714285714285865,0.8186397984886766,0.18136020151132337
39.0,0.7726666666666682,0.22733333333333183,0.5688527838319796,0.43114721616802043,0.7058823529411716,0.29411764705882837,0.8998144712430466,0.10018552875695341
39.5,0.7755102040816217,0.22448979591837825,0.7618213660245139,0.2381786339754861,0.8201438848920684,0.17985611510793165,0.928677563150079,0.07132243684992101
40.0,0.8105004101722758,0.1894995898277242,0.7137305699481995,0.2862694300518005,0.6678635547576203,0.33213644524237973,0.8389261744966521,0.16107382550334792
40.5,0.8300479488545512,0.16995205114544876,0.5784366576819401,0.4215633423180599,0.8952879581151821,0.10471204188481786,0.8032128514056278,0.19678714859437219
41.0,0.8267066766691662,0.1732933233308338,0.68684210526317,0.31315789473683,0.7688243064729154,0.23117569352708456,0.837540156034888,0.16245984396511204
41.5,0.8307692307692314,0.16923076923076863,0.6807511737089147,0.3192488262910853,0.8333333333333234,0.16666666666667662,0.8979206049149348,0.10207939508506525
42.0,0.8142857142857144,0.1857142857142856,0.6515569570358822,0.34844304296411777,0.7826086956521693,0.21739130434783072,0.8628731343283652,0.1371268656716348
42.5,0.8242009132420072,0.17579908675799283,0.7876990321573414,0.21230096784265862,0.6694214876033027,0.33057851239669733,0.8180367118914643,0.18196328810853568
43.0,0.8360539389638029,0.16394606103619713,0.668439716312064,0.331560283687936,0.8189415041782645,0.1810584958217355,0.8373205741626893,0.16267942583731065
43.5,0.8609062170706022,0.13909378292939778,0.719008264462824,0.28099173553717605,0.8253275109170293,0.17467248908297073,0.9087904824851313,0.09120951751486872
44.0,0.876730388925509,0.12326961107449097,0.7865949338713324,0.2134050661286676,0.6945337620578675,0.30546623794213246,0.9428097803564046,0.057190219643595386
44.5,0.8683351468988028,0.13166485310119724,0.6892138939670901,0.3107861060329099,0.8086522462562418,0.19134775374375823,0.7987220447284442,0.2012779552715558
45.0,0.8592150170648413,0.14078498293515873,0.8047846889952124,0.19521531100478762,0.7432024169184207,0.2567975830815793,0.856443719412731,0.143556280587269
45.5,0.8697711128650354,0.1302288871349646,0.8891063274625002,0.11089367253749982,0.8086522462562309,0.1913477537437691,0.9475218658892136,0.05247813411078639
46.0,0.8580645161290322,0.14193548387096777,0.7360406091370673,0.26395939086293274,0.8360655737704855,0.16393442622951448,0.849858356940516,0.15014164305948396
