TransRisk Score,white,black,hispanic,asian
0.0,0.9998999999999998,0.9993,0.9999000000000001,1.0
0.5,0.9998999999999998,0.9993,0.9999000000000001,1.0
1.0,0.9973999999999998,0.9881,0.9953000000000001,0.9987
1.5,0.9883999999999998,0.9467,0.9778000000000001,0.9912000000000001
2.0,0.9856999999999998,0.9353,0.9726000000000001,0.9893000000000001
2.5,0.9819999999999998,0.9211,0.9651000000000002,0.9868000000000001
3.0,0.9790999999999997,0.9073,0.9596000000000002,0.9849000000000001
3.5,0.9744999999999997,0.888,0.9498000000000002,0.9817000000000001
4.0,0.9703999999999997,0.8718,0.9423000000000002,0.9780000000000001
4.5,0.9660999999999997,0.8542000000000001,0.9340000000000003,0.9752000000000001
5.0,0.9645999999999998,0.8484,0.9308000000000003,0.9742000000000001
5.5,0.9580999999999998,0.8228000000000001,0.9178000000000003,0.9690000000000001
6.0,0.9527999999999999,0.8019000000000001,0.9069000000000003,0.9651000000000001
6.5,0.9471999999999998,0.7828,0.8982000000000002,0.9610000000000001
7.0,0.9443999999999998,0.7707,0.8920000000000002,0.9592
7.5,0.9388999999999997,0.7531,0.8806000000000003,0.9560000000000001
8.0,0.9365999999999998,0.7449,0.8762000000000003,0.9528000000000001
8.5,0.9318999999999997,0.7305,0.8682000000000003,0.9498000000000001
9.0,0.9297999999999997,0.7245,0.8640000000000003,0.9486000000000001
9.5,0.9265999999999998,0.7141000000000001,0.8591000000000003,0.9462000000000002
10.0,0.9239999999999997,0.7062,0.8535000000000003,0.9447000000000001
10.5,0.9204999999999997,0.6955,0.8480000000000003,0.9426000000000001
11.0,0.9179999999999997,0.6884,0.8431000000000003,0.9416000000000001
11.5,0.9137999999999997,0.6771,0.8362000000000003,0.9375000000000001
12.0,0.9105999999999997,0.6667000000000001,0.8308000000000002,0.9354000000000001
12.5,0.9043999999999998,0.6489,0.8197000000000002,0.9305000000000001
13.0,0.9007999999999997,0.6393,0.8142000000000003,0.9271000000000001
13.5,0.8959999999999997,0.628,0.8064000000000002,0.9239000000000002
14.0,0.8923999999999996,0.6179,0.8005000000000002,0.9203000000000001
14.5,0.8858999999999997,0.6021,0.7890000000000001,0.9160000000000001
15.0,0.8824999999999997,0.5924999999999999,0.7824000000000001,0.9132000000000001
15.5,0.8770999999999998,0.5792999999999999,0.7738000000000002,0.9091000000000001
16.0,0.8738999999999998,0.5709,0.7679000000000001,0.9055000000000001
16.5,0.8690999999999998,0.5596,0.7598000000000001,0.9025000000000001
17.0,0.8656999999999998,0.5511999999999999,0.7531000000000001,0.8995000000000001
17.5,0.8615999999999998,0.5417,0.7451000000000001,0.8968
18.0,0.8586999999999998,0.5342,0.7403000000000001,0.8947
18.5,0.8543999999999998,0.526,0.7338,0.8904000000000001
19.0,0.8515999999999998,0.5193,0.729,0.8889000000000001
19.5,0.8475999999999998,0.5124,0.7222,0.8849000000000001
20.0,0.8449999999999998,0.5071,0.7179,0.8820000000000001
20.5,0.8345999999999998,0.46950000000000003,0.6969,0.8763000000000001
21.0,0.8311999999999998,0.4596,0.6907,0.8732000000000001
21.5,0.8262999999999998,0.4476,0.6809999999999999,0.8698000000000001
22.0,0.8235999999999998,0.44100000000000006,0.6769,0.8676000000000001
22.5,0.8192999999999998,0.43240000000000006,0.6698999999999999,0.8640000000000001
23.0,0.8161999999999998,0.42630000000000007,0.6645,0.8610000000000001
23.5,0.8122999999999998,0.41800000000000004,0.6576,0.8581000000000001
24.0,0.8086999999999998,0.4114000000000001,0.6494,0.8559000000000001
24.5,0.8026999999999997,0.4000000000000001,0.6381,0.8505000000000001
25.0,0.7990999999999997,0.3938000000000001,0.632,0.8480000000000002
25.5,0.7945999999999998,0.38550000000000006,0.6232,0.8449000000000002
26.0,0.7915999999999997,0.3792000000000001,0.6183,0.8428000000000002
26.5,0.7872999999999998,0.3707000000000001,0.6104999999999999,0.8382000000000003
27.0,0.7832999999999998,0.3646000000000001,0.6034999999999999,0.8338000000000003
27.5,0.7772999999999998,0.3561000000000001,0.5939999999999999,0.8290000000000003
28.0,0.7737999999999997,0.3500000000000001,0.5871999999999998,0.8260000000000003
28.5,0.7680999999999997,0.34150000000000014,0.5778999999999999,0.8210000000000003
29.0,0.7644999999999996,0.3359000000000001,0.5706999999999999,0.8173000000000002
29.5,0.7571999999999997,0.32720000000000005,0.5598999999999998,0.8107000000000002
30.0,0.7528999999999997,0.3235,0.5545999999999999,0.8084000000000002
30.5,0.7475999999999997,0.3163,0.5467999999999998,0.8027000000000002
31.0,0.7440999999999997,0.3115000000000001,0.5425999999999999,0.7982000000000002
31.5,0.7377999999999997,0.30410000000000004,0.5330999999999999,0.7900000000000003
32.0,0.7341999999999996,0.3002,0.5275999999999998,0.7861000000000002
32.5,0.7292999999999996,0.2940000000000001,0.5194999999999999,0.7819000000000003
33.0,0.7251999999999996,0.2894,0.5125999999999998,0.7763000000000002
33.5,0.7199999999999996,0.28390000000000004,0.5064999999999998,0.7708000000000002
34.0,0.7159999999999996,0.2786,0.5003999999999998,0.7668000000000001
34.5,0.7105999999999996,0.2733,0.4935999999999998,0.7605000000000002
35.0,0.7056999999999995,0.26849999999999996,0.4871999999999998,0.7566000000000002
35.5,0.6983999999999996,0.2605,0.47799999999999976,0.7487000000000001
36.0,0.6957999999999995,0.258,0.4735999999999998,0.7452000000000001
36.5,0.6882999999999996,0.25170000000000003,0.4642999999999998,0.7384000000000001
37.0,0.6849999999999996,0.24890000000000004,0.4603999999999998,0.7350000000000001
37.5,0.6772999999999996,0.2413,0.44959999999999983,0.7261000000000001
38.0,0.6738999999999996,0.23840000000000006,0.4461999999999998,0.7231000000000001
38.5,0.6663999999999997,0.23120000000000007,0.4360999999999998,0.7146000000000001
39.0,0.6633999999999997,0.22810000000000005,0.43289999999999984,0.7119000000000001
39.5,0.6567999999999996,0.22280000000000005,0.4244999999999999,0.7034
40.0,0.6543999999999995,0.2205,0.42169999999999985,0.7013
40.5,0.6490999999999996,0.2168000000000001,0.41629999999999984,0.6963
41.0,0.6451999999999997,0.21250000000000002,0.4120999999999998,0.6915
41.5,0.6393999999999996,0.20720000000000002,0.4052999999999998,0.6846
42.0,0.6366999999999997,0.2051000000000001,0.40169999999999983,0.6814
42.5,0.6302999999999997,0.19940000000000002,0.3939999999999998,0.6748
43.0,0.6264999999999997,0.19569999999999999,0.3893999999999998,0.6705
43.5,0.6202999999999997,0.19050000000000003,0.3822999999999998,0.6646
44.0,0.6163999999999997,0.18780000000000008,0.3780999999999999,0.6592
44.5,0.6101999999999997,0.1824,0.36969999999999986,0.6515
45.0,0.6045999999999997,0.17890000000000006,0.3641999999999999,0.6454
45.5,0.5996999999999997,0.17520000000000002,0.3577999999999999,0.6396999999999999
46.0,0.5943999999999997,0.17150000000000012,0.35229999999999995,0.6331
46.5,0.5886999999999997,0.16770000000000002,0.3462999999999999,0.6264
47.0,0.5849999999999997,0.16580000000000003,0.3429,0.6207999999999999
47.5,0.5773999999999998,0.1613,0.33529999999999993,0.612
48.0,0.5740999999999997,0.15920000000000006,0.3318999999999999,0.6067
48.5,0.5662999999999998,0.15540000000000012,0.32499999999999996,0.5986
49.0,0.5622999999999998,0.1534000000000001,0.3212999999999999,0.5942000000000001
49.5,0.5575999999999998,0.15060000000000007,0.3167,0.5889000000000001
50.0,0.5527999999999998,0.14800000000000002,0.3122,0.5835000000000001
50.5,0.5466999999999999,0.14440000000000003,0.3062,0.5762
51.0,0.5436999999999999,0.14250000000000004,0.3031999999999999,0.5722
51.5,0.5380999999999999,0.13950000000000007,0.29739999999999994,0.5637
52.0,0.5337999999999999,0.13760000000000008,0.29340000000000005,0.5588000000000001
52.5,0.5279999999999999,0.1354000000000001,0.28769999999999996,0.5501
53.0,0.5239999999999999,0.13310000000000005,0.28269999999999995,0.5437000000000001
53.5,0.5184,0.13010000000000008,0.2772,0.5350000000000001
54.0,0.5134,0.12730000000000005,0.2729000000000001,0.5269000000000001
54.5,0.5071,0.12439999999999998,0.26709999999999995,0.5178000000000001
55.0,0.5041,0.12299999999999997,0.26400000000000007,0.5125000000000002
55.5,0.4975,0.11939999999999998,0.258,0.5025000000000002
56.0,0.4938,0.11719999999999998,0.2543000000000001,0.4984000000000002
56.5,0.4879,0.11469999999999998,0.24860000000000002,0.4913000000000002
57.0,0.4842,0.11280000000000001,0.2447,0.48540000000000016
57.5,0.4781,0.11060000000000002,0.23870000000000005,0.47690000000000016
58.0,0.47450000000000003,0.10950000000000003,0.23540000000000008,0.47190000000000015
58.5,0.4683,0.1075,0.22980000000000006,0.4652000000000002
59.0,0.46409999999999996,0.10590000000000004,0.22599999999999995,0.45950000000000024
59.5,0.4579,0.10319999999999993,0.22120000000000006,0.4511000000000002
60.0,0.4535,0.10150000000000006,0.21760000000000007,0.4455000000000002
60.5,0.4468,0.09840000000000004,0.21209999999999996,0.4360000000000002
61.0,0.4436,0.0972,0.20900000000000007,0.4308000000000002
61.5,0.4385,0.09510000000000006,0.20530000000000004,0.4258000000000002
62.0,0.4335,0.0933,0.2018000000000001,0.4195000000000002
62.5,0.4285,0.09140000000000002,0.1977,0.41300000000000014
63.0,0.4231,0.0894,0.19370000000000007,0.4034000000000002
63.5,0.41769999999999996,0.08739999999999996,0.19099999999999998,0.39720000000000016
64.0,0.41179999999999994,0.08519999999999997,0.1866,0.38930000000000015
64.5,0.40569999999999995,0.08349999999999995,0.18200000000000005,0.38140000000000013
65.0,0.4028999999999999,0.08230000000000004,0.17959999999999995,0.37780000000000014
65.5,0.39709999999999995,0.08090000000000003,0.17530000000000004,0.3698000000000001
66.0,0.39339999999999997,0.07969999999999998,0.17349999999999996,0.36520000000000014
66.5,0.38739999999999997,0.07819999999999992,0.16959999999999995,0.35870000000000013
67.0,0.3840999999999999,0.07719999999999998,0.16640000000000002,0.3523000000000001
67.5,0.38089999999999996,0.0764,0.1644,0.3495000000000001
68.0,0.37389999999999995,0.07379999999999995,0.15930000000000008,0.3393000000000001
68.5,0.37159999999999993,0.07310000000000001,0.1575,0.33670000000000005
69.0,0.3685,0.07209999999999993,0.15549999999999997,0.333
69.5,0.3614,0.07040000000000006,0.15109999999999998,0.32500000000000007
70.0,0.35700000000000004,0.06939999999999998,0.14840000000000003,0.32000000000000006
70.5,0.35290000000000005,0.06810000000000002,0.14569999999999994,0.3148000000000001
71.0,0.3484999999999999,0.06659999999999996,0.143,0.3108
71.5,0.345,0.06560000000000002,0.14060000000000003,0.30680000000000013
72.0,0.34180000000000005,0.06459999999999994,0.13849999999999996,0.30319999999999997
73.0,0.33430000000000004,0.06290000000000007,0.13409999999999997,0.2942000000000001
73.5,0.3258,0.06019999999999996,0.12989999999999996,0.2827
74.0,0.322,0.05939999999999998,0.12799999999999997,0.2799
74.5,0.3176999999999999,0.057999999999999975,0.12599999999999995,0.27510000000000007
75.0,0.31010000000000004,0.0561,0.12170000000000003,0.26799999999999996
75.5,0.3031999999999999,0.05400000000000006,0.11790000000000007,0.2622
76.0,0.29849999999999993,0.052800000000000014,0.11540000000000007,0.2568000000000001
76.5,0.2942,0.05180000000000007,0.1133,0.2527
77.0,0.28859999999999997,0.05019999999999996,0.11060000000000003,0.24750000000000003
78.0,0.27769999999999995,0.04739999999999995,0.10400000000000006,0.2319
78.5,0.2673999999999999,0.045300000000000014,0.09909999999999998,0.22310000000000005
79.0,0.26299999999999996,0.04469999999999999,0.09739999999999996,0.2194
79.5,0.25659999999999994,0.04349999999999994,0.09469999999999999,0.21459999999999999
80.0,0.2522,0.04260000000000005,0.09219999999999999,0.20970000000000003
80.5,0.24659999999999993,0.04099999999999994,0.08920000000000002,0.20420000000000005
81.0,0.24049999999999994,0.038900000000000004,0.0864,0.1991
81.5,0.2298,0.037000000000000026,0.08209999999999994,0.18959999999999996
82.0,0.22499999999999998,0.03609999999999999,0.07980000000000004,0.18459999999999996
82.5,0.2203,0.03519999999999996,0.07790000000000007,0.18010000000000007
83.0,0.21510000000000004,0.03400000000000006,0.07569999999999993,0.17459999999999995
83.5,0.20980000000000004,0.03290000000000006,0.0736,0.17010000000000006
84.0,0.20260000000000006,0.031500000000000056,0.07090000000000003,0.16469999999999999
84.5,0.19409999999999997,0.030000000000000002,0.06700000000000003,0.15709999999999993
85.0,0.18939999999999999,0.02900000000000006,0.06480000000000004,0.1539
85.5,0.18459999999999996,0.027900000000000067,0.06310000000000002,0.15019999999999997
86.0,0.17489999999999997,0.025799999999999986,0.0589,0.14290000000000008
86.5,0.1693000000000001,0.024899999999999953,0.05719999999999999,0.13920000000000005
87.0,0.16250000000000003,0.0236,0.05379999999999995,0.13280000000000003
87.5,0.15840000000000007,0.022699999999999967,0.05260000000000005,0.12980000000000005
88.0,0.15030000000000004,0.0211,0.04969999999999999,0.12329999999999999
88.5,0.14629999999999999,0.020699999999999937,0.048100000000000025,0.11980000000000005
89.0,0.13819999999999996,0.019500000000000035,0.045400000000000065,0.11329999999999998
89.5,0.13379999999999997,0.01890000000000001,0.04420000000000002,0.10900000000000006
90.0,0.12450000000000004,0.017600000000000057,0.04120000000000004,0.10180000000000007
90.5,0.11959999999999996,0.01689999999999998,0.03950000000000003,0.09819999999999994
91.0,0.11489999999999997,0.01650000000000006,0.03760000000000005,0.09409999999999998
91.5,0.1119,0.016200000000000048,0.03680000000000007,0.09120000000000006
92.0,0.1072,0.015600000000000024,0.03540000000000006,0.08730000000000006
93.0,0.10019999999999997,0.01430000000000007,0.03290000000000006,0.08239999999999997
93.5,0.09030000000000002,0.012699999999999961,0.02969999999999999,0.0744
94.0,0.08180000000000008,0.011500000000000057,0.026500000000000058,0.06810000000000004
94.5,0.07480000000000005,0.010300000000000012,0.024300000000000068,0.06310000000000003
95.0,0.06319999999999994,0.008799999999999955,0.02069999999999993,0.05469999999999999
95.5,0.05430000000000007,0.007900000000000063,0.01790000000000006,0.04799999999999997
96.0,0.050799999999999984,0.007500000000000001,0.016599999999999965,0.045400000000000065
96.5,0.04150000000000006,0.006200000000000046,0.013599999999999994,0.03719999999999999
97.0,0.038900000000000004,0.005799999999999983,0.012900000000000062,0.035
97.5,0.03230000000000004,0.004899999999999949,0.010799999999999983,0.028799999999999958
98.0,0.023100000000000023,0.0034999999999999433,0.007600000000000051,0.020699999999999934
98.5,0.010600000000000023,0.0010999999999999942,0.003400000000000034,0.010600000000000023
99.0,0.0037999999999999545,0.0004999999999999716,0.0012000000000000454,0.0039000000000000055
99.5,0.0009000000000000341,0.00010000000000005117,0.00019999999999996022,0.0010999999999999942
100.0,0.00019999999999996022,0.0,0.0,0.0006000000000000227
